"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
65.99,4002,84.196,5.9559,133.43
65.705,4004,84.162,5.838,133.31
68.392,4016,84.139,5.7009,133.17
63.859,4457,83.998,6.4348,133.65
66.119,4458,84.182,6.3969,133.78
64.518,4459,83.983,6.3695,133.58
66.275,4478,84.193,6.2824,133.69
62.234,4479,83.985,6.2841,133.52
61.137,4493,83.878,6.2007,133.36
61.191,4494,83.981,6.1227,133.38
60.983,4495,83.752,6.1414,133.19
66.317,4496,84.215,6.1724,133.62
64.002,4529,83.923,5.9486,133.19
63.879,4530,83.771,5.9975,133.08
66.233,4531,84.104,6.0181,133.4
66.463,4545,83.985,5.7949,133.11
66.72,4546,83.788,5.8195,132.95
69.563,4554,83.97,5.5818,132.91
70.126,4555,83.809,5.6227,132.79
73.883,4566,83.988,5.4035,132.75
74.424,4567,83.848,5.399,132.61
65.417,4576,83.939,5.2879,132.59
35.235,4577,83.963,5.1828,132.5
356.07,4587,83.984,5.0557,132.38
340.5,4596,84.011,4.8514,132.16
323.96,4606,84.091,4.6794,132.02
2.8667,4620,84.128,4.4899,131.8
51.336,4644,84.308,4.2107,131.56
66.756,4975,83.789,6.5768,133.57
68.043,4976,83.676,6.6105,133.48
63.009,4999,83.606,6.5911,133.39
60.412,5000,83.703,6.5007,133.42
62.158,5001,83.52,6.5725,133.27
62.97,5002,83.916,6.5029,133.63
60.235,5021,83.788,6.3825,133.41
61.518,5022,83.575,6.4318,133.23
60.775,5039,83.79,6.2646,133.32
57.415,5040,83.617,6.2721,133.15
58.47,5049,83.52,6.1799,132.98
60.896,5050,83.595,6.0679,132.97
64.181,5051,83.415,6.1297,132.82
63.673,5072,83.61,5.8896,132.83
64.546,5073,83.448,5.9634,132.72
66.609,5088,83.635,5.7256,132.71
64.519,5089,83.459,5.7577,132.55
70.415,5108,83.656,5.6109,132.63
69.021,5109,83.525,5.5674,132.45
72.159,5119,83.658,5.5101,132.53
72.433,5120,83.729,5.4178,132.51
31.763,5129,83.857,5.1727,132.38
28.383,5130,83.723,5.2227,132.3
332.79,5138,83.888,4.978,132.19
331,5139,83.788,5.0363,132.15
328.15,5148,83.903,4.8526,132.06
327.64,5149,83.804,4.8266,131.91
325.49,5162,83.924,4.7435,131.93
325.06,5163,84.011,4.6344,131.88
17.737,5186,84.022,4.4641,131.65
55.57,5197,84.2,4.321,131.62
65.814,5198,84.126,4.3088,131.52
69.909,5210,84.235,4.1974,131.46
70.463,5211,84.328,4.0461,131.3
71.817,5225,84.445,3.937,131.22
73.448,5561,83.556,6.6882,133.39
97.561,5562,83.402,6.7096,133.22
96.123,5582,83.294,6.6908,133.07
90.129,5583,83.393,6.5438,133.1
94.822,5584,83.242,6.6283,132.96
74.8,5600,83.428,6.3847,133.02
92.294,5601,83.268,6.4741,132.89
60.266,5616,83.445,6.2601,132.95
94.224,5617,83.294,6.29,132.79
95.229,5640,83.184,6.2178,132.6
90.406,5641,83.286,6.0837,132.63
93.462,5642,83.135,6.1335,132.48
74.841,5656,83.311,5.9083,132.51
78.71,5657,83.169,5.9801,132.4
66.607,5666,83.317,5.7916,132.42
68.238,5667,83.187,5.7955,132.26
67.045,5682,83.319,5.6918,132.33
64.853,5683,83.373,5.5441,132.25
69.316,5709,83.591,5.3696,132.32
57.071,5710,83.464,5.4022,132.21
22.118,5725,83.6,5.2319,132.18
19.827,5726,83.486,5.203,132.02
4.7608,5740,83.613,5.1154,132.06
347.28,5741,83.694,4.986,131.99
349.82,5754,83.685,4.7882,131.73
333.36,5767,83.898,4.609,131.72
6.2827,5768,83.795,4.6389,131.65
36.417,5780,83.935,4.4678,131.56
43.126,5781,83.869,4.4156,131.4
53.662,5791,83.971,4.3582,131.43
70.636,5792,84.05,4.2934,131.41
70.908,5804,84.211,4.1302,131.32
71.038,5805,84.126,4.1546,131.27
70.904,5813,84.26,3.9787,131.1
71.317,5814,84.41,3.8638,131.05
88.314,5822,84.525,3.6884,130.82
133.2,6185,83.134,6.6297,132.81
124.94,6201,83.136,6.4416,132.69
131.45,6202,82.996,6.483,132.52
101.99,6218,83.158,6.318,132.64
107.42,6219,83.036,6.3002,132.46
69.576,6239,83.034,6.0972,132.31
65.732,6249,83.055,5.9151,132.19
64.857,6257,83.064,5.7579,132.07
69.489,6267,83.243,5.6151,132.17
68.059,6268,83.134,5.6244,132.04
72.627,6284,83.228,5.4499,131.98
70.234,6285,83.354,5.3435,132.02
12.943,6319,83.363,5.173,131.84
345.65,6341,83.565,4.9841,131.85
328.4,6342,83.434,5.0239,131.75
348.81,6361,83.586,4.8239,131.67
342.9,6362,83.499,4.8572,131.61
10.178,6377,83.602,4.6722,131.48
18.765,6378,83.728,4.5668,131.47
52.999,6388,83.79,4.3793,131.25
70.794,6399,84.004,4.1998,131.2
70.635,6400,83.914,4.179,131.06
71.459,6408,84.129,4.0445,131.08
71.393,6409,84.064,4.0004,130.91
71.341,6420,84.218,3.8938,130.89
71.976,6421,84.311,3.722,130.66
71.368,6422,84.357,3.8009,130.87
86.562,6431,84.46,3.6746,130.73
86.045,6432,84.417,3.6525,130.63
90.285,6448,84.547,3.5529,130.56
80.81,6867,82.924,6.2212,132.24
42.745,6883,82.936,6.0139,132.1
52.498,6893,82.952,5.8179,131.96
35.077,6904,83.002,5.633,131.86
349.52,6905,82.876,5.6754,131.72
12.274,6910,83.09,5.4998,131.85
1.6063,6911,82.983,5.4451,131.64
7.2894,6929,83.118,5.3531,131.73
17.416,6930,83.148,5.2198,131.62
66.351,6931,83.247,5.2451,131.78
8.672,6953,83.307,5.0407,131.61
351.2,6954,83.191,5.0818,131.51
324.93,6981,83.384,4.8695,131.49
325.68,6982,83.267,4.8719,131.34
347.15,7003,83.478,4.73,131.42
349.9,7004,83.392,4.6775,131.23
1.3531,7022,83.534,4.5805,131.27
25.431,7023,83.587,4.4128,131.07
19.306,7024,83.665,4.4696,131.25
53.36,7036,83.768,4.2796,131.07
54.654,7037,83.683,4.3012,131
71.214,7048,83.827,4.1647,130.94
71.347,7049,83.763,4.1231,130.79
70.543,7059,83.885,4.0666,130.83
67.657,7060,83.999,3.9358,130.71
66.277,7068,84.192,3.8204,130.72
64.975,7069,84.123,3.8245,130.64
66.679,7080,84.266,3.6542,130.46
77.128,7081,84.44,3.5409,130.41
85.159,7102,84.574,3.4703,130.41
296.5,7587,82.868,5.4784,131.51
0.76787,7600,83.051,5.2107,131.48
328.11,7601,82.929,5.2856,131.39
336.16,7617,83.115,5.007,131.32
326.71,7618,82.995,5.05,131.2
325.74,7640,83.164,4.8791,131.22
325.42,7641,83.091,4.8383,131.06
341.54,7661,83.205,4.777,131.13
13.948,7662,83.298,4.6457,131.06
46.22,7681,83.481,4.5111,131.1
64.028,7682,83.415,4.4619,130.93
69.452,7701,83.528,4.3685,130.93
70.698,7702,83.637,4.2328,130.83
70.831,7717,83.704,4.0488,130.58
65.21,7725,83.891,3.9694,130.66
64.6,7726,83.829,3.9483,130.54
63.407,7734,83.977,3.8093,130.44
59.742,7735,84.122,3.7196,130.42
65.569,7751,84.27,3.5372,130.2
70.588,7752,84.397,3.488,130.24
78.759,7775,84.597,3.4045,130.28
71.297,7776,84.564,3.353,130.11
0,8327,82.797,5.3812,131.29
328.07,8338,82.86,5.1969,131.18
338.51,8339,82.746,5.2281,131.04
325.69,8349,82.901,5.0685,131.09
327.56,8350,82.829,5.0529,130.96
325.36,8359,82.93,4.9601,130.99
326.04,8360,83.005,4.8045,130.88
15.412,8375,83.182,4.6886,130.97
14.515,8376,83.126,4.6137,130.77
44.454,8392,83.232,4.562,130.85
64.212,8393,83.324,4.4684,130.82
70.785,8417,83.537,4.2483,130.73
67.855,8418,83.412,4.2973,130.65
68.919,8439,83.615,4.0902,130.55
68.236,8440,83.538,4.1378,130.54
67.638,8468,83.672,3.9462,130.34
64.474,8469,83.839,3.8235,130.3
61.24,8488,83.983,3.7181,130.26
61.122,8489,84.129,3.5914,130.15
72.563,8523,84.298,3.4141,129.94
74.061,8524,84.456,3.3588,129.99
72.369,8562,84.676,3.1863,129.81
71.531,8563,84.739,3.2253,129.99
71.595,8564,84.857,3.1149,129.83
74.056,8590,85.029,3.0233,129.77
359.37,9176,82.66,5.2416,130.91
3.7258,9177,82.604,5.1866,130.74
0.72323,9187,82.688,5.1253,130.82
356.68,9188,82.753,5.0526,130.84
329.42,9198,82.895,4.8838,130.84
346.41,9199,82.81,4.9091,130.74
1.5265,9206,82.915,4.7333,130.65
9.2034,9207,83.036,4.6156,130.65
62.413,9216,83.25,4.4159,130.63
53.867,9217,83.149,4.4087,130.48
62.39,9229,83.331,4.2854,130.53
61.132,9230,83.29,4.2266,130.36
61.645,9247,83.4,4.1806,130.43
62.822,9248,83.512,4.0808,130.4
63.762,9262,83.592,3.9209,130.19
63.673,9263,83.778,3.7508,130.07
62.425,9290,84.011,3.6289,130.09
64.101,9291,83.936,3.6353,130.01
64.746,9322,84.138,3.4494,129.83
74.886,9323,84.348,3.2951,129.71
75.182,9324,84.511,3.2343,129.75
72.587,9345,84.724,3.066,129.55
66.436,9346,84.917,2.9973,129.57
66.171,9360,85.124,2.8975,129.52
73.892,9361,85.227,2.895,129.62
69.145,9362,85.269,2.8293,129.47
68.002,9371,85.388,2.7877,129.47
67.702,9372,85.573,2.694,129.36
32.805,9948,82.532,5.1939,130.62
5.6144,9957,82.697,4.9633,130.62
29.978,9958,82.603,4.9696,130.45
15.723,9968,82.795,4.8025,130.55
21.879,9969,82.724,4.7571,130.36
23.917,9978,82.859,4.6512,130.43
30.269,9979,82.92,4.4829,130.26
10.713,9980,82.988,4.5372,130.45
46.801,9991,83.067,4.4051,130.36
46.007,9992,83.025,4.3558,130.21
48.151,10006,83.129,4.2965,130.26
52.405,10007,83.237,4.1516,130.15
57.809,10022,83.44,4.0524,130.25
56.304,10023,83.36,4.048,130.13
57.004,10040,83.497,3.9021,130.03
61.337,10041,83.632,3.7606,129.92
63.277,10042,83.659,3.7936,130.01
63.536,10061,83.776,3.6292,129.81
68.094,10062,83.945,3.5343,129.8
70.825,10077,84.102,3.3557,129.57
78.024,10078,84.302,3.2456,129.53
77.145,10079,84.527,3.1303,129.49
76.347,10099,84.755,2.9745,129.33
66.512,10100,85.136,2.8255,129.32
72.53,10101,84.955,2.8765,129.27
70.669,10102,85.174,2.7385,129.1
68.194,10111,85.358,2.7436,129.3
69.55,10112,85.363,2.6743,129.1
68.076,10113,85.565,2.6127,129.1
64.34,10122,85.724,2.5794,129.15
18.657,10552,82.322,7.5804,131.55
31.767,10562,82.266,7.2492,131.43
15.696,10563,82.292,7.4266,131.49
16.557,10573,82.215,7.2851,131.29
13.335,10574,82.213,7.0912,131.27
41.916,10594,82.117,6.6072,130.92
16.624,10595,82.154,6.8976,131.08
0,10611,82.085,6.4477,130.79
0,10613,82.062,6.3388,130.69
0,10630,82.074,6.1872,130.63
0,10650,82.088,5.994,130.54
41.749,10665,82.114,5.781,130.43
32.945,10678,82.156,5.5444,130.3
34.121,10705,82.462,5.141,130.43
36.057,10706,82.364,5.1586,130.26
37.091,10719,82.515,4.9899,130.33
37.49,10720,82.458,4.9503,130.16
38.134,10731,82.56,4.8713,130.24
39.076,10732,82.653,4.7099,130.16
35.078,10744,82.814,4.5882,130.26
39.694,10745,82.763,4.5291,130.06
41.133,10760,82.863,4.4554,130.12
41.714,10761,82.963,4.3152,130.04
47.649,10774,83.135,4.1997,130.09
44.496,10775,83.072,4.2042,130
45.376,10782,83.198,4.0415,129.87
48.43,10783,83.358,3.9287,129.88
55.257,10799,83.492,3.8238,129.86
58.203,10800,83.613,3.7238,129.81
67.026,10818,83.705,3.5895,129.63
69.996,10819,83.91,3.4469,129.55
76.217,10840,84.075,3.2701,129.32
82.48,10841,84.264,3.1754,129.31
78.064,10842,84.655,2.9895,129.26
79.624,10843,84.471,3.0687,129.27
78.804,10844,84.681,2.922,129.11
77.533,10856,84.889,2.8286,129.06
74.213,10857,85.355,2.6108,128.89
77.959,10858,85.117,2.6995,128.92
77.709,10859,85.323,2.5766,128.75
73.111,10867,85.573,2.5336,128.86
75.547,10868,85.538,2.4686,128.62
76.007,10869,85.756,2.4053,128.62
65.524,10876,85.806,2.473,128.88
78.695,10877,85.904,2.3786,128.66
46.309,11313,82.292,7.8842,131.4
14.417,11321,82.298,7.7008,131.47
17.101,11322,82.226,7.6855,131.26
21.969,11323,82.259,7.985,131.25
17.936,11324,82.195,7.8125,131.11
22.15,11325,82.237,8.0404,131.14
13.19,11333,82.21,7.463,131.25
15.52,11334,82.154,7.5644,131.06
19.292,11335,82.124,7.6664,130.93
34.136,11336,82.185,7.9647,130.99
33.362,11337,82.121,7.8246,130.83
34.063,11338,82.168,8.0389,130.86
18.667,11346,82.141,7.1697,131.07
16.617,11347,82.11,7.344,130.97
17.416,11348,82.073,7.4701,130.82
19.773,11349,82.068,7.6087,130.75
20.457,11350,82.046,7.6623,130.64
23.915,11351,82.119,7.9956,130.68
20.325,11352,82.063,7.812,130.6
21.704,11353,82.066,7.9507,130.47
31.642,11372,82.033,6.6252,130.72
28.191,11373,82.082,6.7816,130.88
21.315,11374,82.076,6.9698,130.89
22.082,11375,82.049,7.1344,130.81
18.427,11376,82.021,7.2836,130.69
7.9528,11377,81.954,7.2675,130.46
2.5994,11378,81.997,7.4485,130.55
357.51,11379,81.996,7.6087,130.45
1.2339,11380,82.019,7.7743,130.43
5.4677,11381,82.013,7.8578,130.3
32.762,11396,82.006,6.3044,130.53
32.352,11397,82.034,6.4753,130.68
2.374,11398,81.92,7.291,130.31
353.41,11399,81.929,7.4385,130.26
345.51,11400,81.916,7.542,130.12
341.31,11401,81.966,7.6459,130.29
347.62,11402,81.972,7.7573,130.21
34.939,11418,82.015,6.1047,130.44
341.58,11419,81.94,7.6746,130.12
36.491,11435,82.036,5.8915,130.35
35.221,11447,82.068,5.6725,130.23
36.781,11467,82.095,5.4592,130.09
36.072,11480,82.242,5.3237,130.23
36.526,11481,82.166,5.3366,130.1
36.118,11496,82.282,5.1777,130.14
36.093,11497,82.223,5.1443,129.98
36.455,11512,82.315,5.0601,130.05
38.123,11513,82.393,4.9041,129.97
39.918,11525,82.548,4.7812,130.09
39.906,11526,82.5,4.7282,129.91
34.325,11537,82.604,4.6384,129.96
27.374,11538,82.706,4.4686,129.85
34.487,11549,82.866,4.3651,129.96
13.945,11550,82.842,4.2909,129.77
9.3529,11558,82.943,4.2304,129.84
6.7968,11559,83.055,4.1309,129.83
358.99,11576,83.133,3.9793,129.64
359.25,11577,83.294,3.861,129.64
38.651,11595,83.536,3.7188,129.69
27.848,11596,83.439,3.7532,129.62
32.062,11612,83.606,3.5702,129.44
60.931,11613,83.755,3.4389,129.34
65.836,11614,83.781,3.4752,129.46
64.532,11630,83.909,3.3296,129.27
73.695,11631,84.061,3.1865,129.09
78.714,11632,84.234,3.1,129.07
76.071,11633,84.42,3.0102,129.05
75.292,11634,84.816,2.8084,128.93
73.944,11635,84.613,2.9074,128.99
71.671,11636,84.817,2.758,128.78
64.39,11647,85.027,2.6643,128.72
74.27,11648,85.297,2.5357,128.59
76.131,11656,85.557,2.3928,128.38
80.294,11657,85.892,2.3082,128.42
80.366,11658,85.77,2.3137,128.32
80.893,11659,86.017,2.2251,128.24
23.925,12128,82.123,8.1316,130.53
23.428,12144,81.984,6.6419,130.59
24.694,12145,82.018,6.7933,130.71
20.265,12146,81.994,6.9303,130.65
17.901,12147,81.964,7.0683,130.54
17.398,12148,81.929,6.901,130.44
18.353,12149,81.953,7.1702,130.48
17.336,12150,82.056,8.0436,130.28
21.831,12168,81.95,6.2444,130.35
22.001,12169,81.959,6.4697,130.47
16.333,12170,81.893,6.9324,130.31
18.098,12171,81.887,7.0842,130.24
17.695,12172,81.862,7.212,130.07
355.06,12173,81.871,7.4032,129.99
15.62,12174,81.832,7.2491,129.9
354.46,12175,81.976,7.8389,130.11
16.447,12177,82.005,7.9892,130.04
27.366,12196,81.963,6.0163,130.26
357.21,12197,81.848,7.4616,129.79
358.3,12198,81.811,7.2906,129.74
344,12199,81.902,7.6159,129.95
340.74,12200,81.935,7.791,129.91
6.4105,12201,81.969,7.9528,129.84
29.615,12220,81.93,5.8876,130.1
34.12,12221,81.989,5.7832,130.16
