"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
52.199,8,103.91,13.344,133.89
51.485,9,103.89,13.043,133.81
51.296,10,104.06,13.091,133.81
50.943,22,103.63,12.964,133.8
55.84,23,103.81,12.898,133.77
58.237,24,104.02,12.851,133.74
56.995,25,104.19,12.739,133.7
52.684,26,104.34,12.602,133.65
47.117,58,103.43,12.876,133.78
55.311,59,103.65,12.829,133.76
58.344,60,103.9,12.647,133.68
58.511,61,104.13,12.634,133.67
58.299,62,104.1,12.507,133.62
58.615,63,104.29,12.431,133.59
51.325,94,103.23,12.874,133.78
61.533,95,103.44,12.704,133.71
65.925,96,103.66,12.649,133.69
63.932,97,103.84,12.445,133.61
63.786,98,104.1,12.338,133.56
68.666,99,104.28,12.273,133.53
69.829,100,104.43,12.202,133.5
75.264,101,104.62,12.009,133.41
94.829,102,104.8,11.824,133.33
24.688,134,102.82,12.97,133.81
27.477,135,103.03,12.837,133.76
40.547,136,103.23,12.705,133.71
48.21,137,103.42,12.603,133.67
55.143,138,103.61,12.46,133.61
54.904,139,103.81,12.259,133.53
55.049,140,104,12.228,133.52
63.183,141,104.35,12.095,133.45
58.137,142,104.2,12.058,133.44
58.665,143,104.45,11.858,133.35
68.426,144,104.66,11.704,133.28
71.986,145,104.67,11.813,133.33
70.679,146,104.85,11.6,133.23
20.983,183,102.46,13.041,133.81
18.948,184,102.61,13.066,133.83
18.818,185,102.67,12.924,133.78
18.666,188,102.84,12.792,133.73
19.082,190,103.04,12.663,133.69
27.165,192,103.25,12.561,133.65
34.809,193,103.39,12.528,133.64
32.417,194,103.41,12.383,133.58
44.703,198,103.61,12.251,133.52
45.004,200,103.82,12.078,133.45
45.004,201,104.01,12.033,133.43
46.411,203,104.22,11.841,133.34
50.604,205,104.44,11.651,133.26
58.411,206,104.67,11.561,133.21
65.033,207,104.92,11.342,133.11
95.019,208,105.17,11.294,133.08
69.158,209,105.14,11.179,133.03
66.307,210,105.34,11.083,132.98
58.076,211,105.51,10.962,132.92
60.591,212,105.59,11.043,132.95
56.147,213,105.63,10.841,132.85
27.137,246,102.43,12.94,133.77
19.549,247,102.62,12.794,133.72
18.435,250,102.83,12.619,133.66
18.903,253,103.05,12.517,133.63
19.103,254,103.2,12.483,133.62
19.705,255,103.21,12.339,133.55
33.32,259,103.42,12.206,133.5
44.698,261,103.62,12.073,133.44
45,263,103.81,11.969,133.4
45,264,104,11.824,133.33
45.285,266,104.22,11.636,133.24
46.588,269,104.43,11.529,133.2
52.547,270,104.65,11.371,133.12
57.037,273,104.87,11.149,133.01
57.424,274,105.13,11.014,132.94
46.641,276,105.33,10.93,132.9
45.337,277,105.49,10.846,132.86
41.173,278,105.68,10.638,132.74
19.506,316,102.63,12.597,133.63
18.436,318,102.83,12.426,133.57
18.436,319,102.99,12.441,133.59
18.437,320,103.05,12.298,133.52
19.682,323,103.23,12.161,133.46
31.88,326,103.43,12.028,133.41
37.233,328,103.64,11.922,133.37
44.688,329,103.79,11.889,133.36
44.218,330,103.81,11.735,133.28
44.776,334,104.03,11.594,133.21
45.382,337,104.24,11.418,133.13
45.469,338,104.4,11.446,133.15
45.641,339,104.48,11.297,133.08
47.173,342,104.65,11.15,133
45.867,345,104.83,10.974,132.91
44.821,346,105.02,10.915,132.88
39.386,350,105.4,10.751,132.8
32.519,351,105.23,10.732,132.79
30.617,361,105.51,10.512,132.67
28.019,362,105.73,10.323,132.57
34.642,363,105.79,10.405,132.61
18.435,410,102.8,12.323,133.51
18.435,411,103,12.17,133.45
19.381,413,103.22,11.984,133.37
28.252,416,103.44,11.879,133.33
31.739,417,103.59,11.843,133.33
31.704,418,103.61,11.697,133.25
43.541,420,103.82,11.55,133.18
41.456,423,104.02,11.391,133.1
41.409,425,104.22,11.298,133.07
41.927,426,104.42,11.153,132.99
42.388,429,104.62,10.96,132.89
41.102,431,104.82,10.861,132.85
37.804,432,105.02,10.723,132.77
26.963,435,105.25,10.526,132.67
24.148,440,105.45,10.336,132.56
20.357,441,105.68,10.228,132.51
18.452,493,102.77,12.254,133.47
18.46,494,102.84,12.115,133.41
18.435,497,103.02,11.97,133.34
18.435,501,103.21,11.782,133.26
18.783,502,103.38,11.804,133.29
18.839,503,103.44,11.666,133.22
31.761,505,103.62,11.524,133.15
43.683,509,103.82,11.365,133.07
39.402,511,104.02,11.182,132.98
39.662,512,104.18,11.218,133.02
38.102,513,104.26,11.079,132.94
38.963,515,104.44,10.932,132.86
38.562,518,104.63,10.736,132.76
39.963,519,104.78,10.781,132.8
38.173,520,104.87,10.644,132.72
31.091,522,105.05,10.506,132.65
21.308,525,105.23,10.329,132.55
20.144,528,105.42,10.226,132.49
16.5,529,105.6,10.076,132.41
18.223,589,102.77,11.995,133.33
18.435,591,102.98,11.813,133.25
18.435,594,103.18,11.631,133.17
19.056,595,103.39,11.549,133.14
31.721,599,103.58,11.371,133.06
43.915,601,103.79,11.201,132.97
42.146,603,104,11.026,132.89
40.075,604,104.21,10.951,132.86
39.899,606,104.4,10.757,132.75
37.713,609,104.6,10.557,132.64
36.678,610,104.82,10.514,132.63
29.338,612,105.02,10.323,132.53
22.817,617,105.21,10.12,132.41
21.033,618,105.37,10.151,132.44
20.903,619,105.44,10.015,132.36
13.67,623,105.6,9.8688,132.27
17.43,670,102.77,11.809,133.22
18.405,674,102.96,11.656,133.16
18.409,678,103.15,11.538,133.11
19.164,679,103.34,11.386,133.04
31.616,681,103.56,11.209,132.95
44.475,683,103.77,11.039,132.87
44.272,685,103.97,10.931,132.82
41.705,686,104.17,10.786,132.75
41.458,688,104.38,10.586,132.64
38.628,691,104.58,10.387,132.53
35.457,692,104.8,10.346,132.52
28.495,695,104.99,10.144,132.4
25.551,698,105.17,9.9461,132.28
21.614,699,105.39,9.892,132.27
9.8558,703,105.57,9.6801,132.14
14.443,746,102.75,11.646,133.12
14.873,750,102.97,11.517,133.07
17.389,751,103.12,11.469,133.06
14.876,752,103.13,11.326,132.97
15.486,754,103.35,11.184,132.91
26.425,766,103.57,11.039,132.84
35.287,775,103.79,10.859,132.75
41.408,776,103.94,10.864,132.78
37.703,777,104,10.731,132.69
33.703,781,104.16,10.591,132.62
33.44,783,104.36,10.414,132.52
32.02,786,104.56,10.231,132.42
28.199,787,104.78,10.169,132.4
19.171,789,104.96,9.9627,132.27
18.623,790,105.15,9.7811,132.16
18.358,791,105.36,9.7411,132.16
12.221,792,105.54,9.5301,132.02
4.0582,833,102.76,11.496,133.03
13.065,834,102.91,11.445,133.02
10.786,835,102.91,11.296,132.92
11.431,846,103.15,11.149,132.86
11.764,859,103.38,10.982,132.78
21.105,870,103.6,10.896,132.75
25.674,877,103.74,10.774,132.69
30.131,878,103.9,10.619,132.6
24.803,885,104.13,10.434,132.5
25.238,889,104.34,10.252,132.4
24.67,892,104.54,10.136,132.35
20.937,893,104.74,9.9823,132.26
8.8886,898,104.96,9.7566,132.12
9.369,899,105.18,9.6113,132.04
16.795,900,105.34,9.5953,132.05
346.23,903,97.97,4.9303,126.81
353.1,904,98.057,4.8198,126.69
354.05,905,98.24,4.7412,126.6
359.04,961,102.7,11.421,132.97
0.95768,962,102.7,11.272,132.87
9.3786,979,102.93,11.122,132.81
9.8245,993,103.15,10.986,132.75
9.7257,1002,103.34,10.815,132.66
10.234,1003,103.47,10.816,132.68
9.7746,1004,103.52,10.686,132.6
18.681,1007,103.63,10.749,132.66
14.575,1008,103.7,10.568,132.54
19.034,1010,103.92,10.431,132.47
16.695,1014,104.14,10.264,132.38
16.661,1018,104.35,10.071,132.27
21.061,1019,104.51,10.069,132.29
16.669,1020,104.57,9.931,132.2
14.226,1029,104.74,9.7796,132.1
12.244,1030,104.93,9.578,131.97
9.07,1031,105.14,9.51,131.95
352.18,1036,97.963,5.049,126.94
354.37,1038,98.179,5.1472,127.04
354.09,1039,98.088,5.069,126.96
354.17,1040,98.241,4.9913,126.87
352.01,1041,98.151,4.9089,126.78
352.62,1042,98.374,4.8454,126.71
353.11,1043,98.431,4.6825,126.53
3.4862,1044,98.399,4.5617,126.39
8.0524,1045,98.431,4.4466,126.25
8.2024,1133,102.71,11.097,132.75
8.4699,1140,102.95,10.938,132.68
8.1819,1146,103.16,10.846,132.65
8.1471,1148,103.3,10.724,132.59
8.0163,1149,103.46,10.571,132.5
8.2382,1151,103.71,10.407,132.42
8.5409,1153,103.93,10.268,132.35
7.4754,1157,104.15,10.11,132.27
7.3167,1169,104.32,9.9823,132.2
6.7833,1170,104.48,9.8188,132.09
6.337,1175,104.7,9.6327,131.98
6.5439,1176,104.88,9.485,131.89
