"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
240.53,1684,59.026,27.579,115.12
239.47,1685,58.904,27.464,115.24
231.7,1687,59.203,27.607,115.11
235.74,1688,59.078,27.466,115.27
228.96,1689,59.385,27.654,115.07
237.02,1690,59.275,27.5,115.25
228,1691,59.568,27.716,115
238.22,1692,59.474,27.557,115.2
224.55,1693,59.742,27.793,114.91
226.64,1694,59.675,27.625,115.13
219.36,1695,59.811,27.731,115
217.01,1700,59.897,27.673,115.08
200.1,1702,60.064,27.638,115.13
270.46,2149,58.971,27.673,114.99
241.73,2152,59.131,27.705,114.97
281.63,2153,59.372,27.889,114.74
232.64,2154,59.301,27.748,114.93
220.13,2155,59.528,27.947,114.67
225.42,2156,59.473,27.804,114.87
214.19,2157,59.643,27.983,114.62
219.28,2158,59.653,27.873,114.79
212.11,2159,59.754,28.006,114.59
205.76,2163,59.856,27.939,114.7
214.39,2164,59.927,27.836,114.85
202.7,2165,60.068,27.982,114.64
195.94,2169,60.072,27.803,114.9
195.46,2170,60.202,27.737,115
196.11,2174,60.361,27.726,115.01
192.62,2179,60.554,27.699,115.04
148.28,2186,63.435,26.721,115.18
151.14,2188,63.257,26.672,115.31
141.61,2189,63.569,26.667,115.15
168.56,2199,62.851,26.8,115.4
164.25,2200,62.729,26.739,115.5
163.99,2201,62.709,26.832,115.43
167.26,2202,62.982,26.771,115.36
162.79,2203,62.807,26.668,115.52
157.55,2204,63.131,26.721,115.33
146.4,2223,62.519,26.82,115.51
199.72,2814,59.633,28.244,114.2
208.23,2815,59.641,28.097,114.44
197.03,2816,59.775,28.283,114.14
196.75,2817,59.782,28.19,114.3
198.18,2818,59.938,28.28,114.15
200.11,2822,59.893,28.097,114.45
193.2,2823,60.071,28.163,114.35
191.75,2827,60.182,28.103,114.45
194.78,2833,60.26,27.886,114.78
191.97,2834,60.295,28.046,114.54
195.18,2839,60.45,27.839,114.85
192.7,2840,60.442,27.978,114.65
194.38,2845,60.591,27.808,114.9
193.24,2846,60.607,27.91,114.75
135,2847,63.985,26.422,115.08
134.17,2848,63.825,26.396,115.19
134.99,2849,63.898,26.561,115.03
135,2850,64.078,26.31,115.09
133.16,2851,63.91,26.267,115.22
135,2852,64.177,26.218,115.08
134.13,2853,64.005,26.154,115.22
134.84,2854,64.12,26.122,115.16
200.11,2859,60.744,27.787,114.91
204.57,2861,60.909,27.73,114.98
150.21,2862,63.429,26.876,115.04
154.18,2863,63.309,26.769,115.2
161.02,2864,63.248,26.837,115.17
136.17,2865,63.587,26.823,115.01
135.29,2866,63.711,26.733,115.01
135.02,2867,63.703,26.481,115.21
134.98,2868,63.735,26.616,115.09
125.81,2871,63.826,26.095,115.36
134.48,2872,64.093,26.012,115.23
133.68,2873,63.943,26.004,115.33
133.04,2874,63.998,25.878,115.35
161,2882,62.79,26.936,115.3
167.07,2883,62.947,26.93,115.23
164.84,2884,63.118,26.892,115.18
92.233,2893,62.675,27.072,115.21
152.17,2894,62.654,26.944,115.34
303.45,3552,59.808,28.521,113.7
216.6,3558,59.737,28.389,113.94
262.73,3559,59.933,28.432,113.87
227.56,3562,60.089,28.383,113.97
193.04,3566,60.148,28.289,114.14
191.31,3572,60.297,28.216,114.26
192.08,3576,60.49,28.247,114.21
192.68,3577,60.481,28.129,114.41
193.49,3578,60.644,28.239,114.23
193.7,3582,60.606,28.044,114.54
195.78,3583,60.707,28.148,114.37
135,3584,64.215,26.587,114.81
135,3585,64.063,26.547,114.94
135,3586,64.081,26.688,114.82
135,3587,64.318,26.492,114.81
135,3588,64.155,26.447,114.95
135,3589,64.402,26.399,114.82
135,3590,64.251,26.34,114.96
135,3591,64.361,26.298,114.91
192.93,3595,60.699,27.988,114.63
193.8,3596,60.8,28.06,114.51
135.67,3597,63.815,26.97,114.74
135.35,3598,63.718,26.889,114.88
144.91,3599,63.666,26.94,114.86
135,3600,63.934,26.888,114.74
135,3601,63.789,26.831,114.88
135,3602,64.004,26.787,114.79
134.99,3603,63.883,26.718,114.92
134.79,3604,64.342,26.183,114.98
134.32,3605,64.218,26.1,115.11
130.47,3606,64.312,26.073,115.06
195.29,3610,60.78,27.926,114.72
204,3611,60.91,27.812,114.87
202.63,3612,60.924,27.895,114.75
157.74,3613,63.418,27.032,114.9
163.16,3614,63.301,26.93,115.06
157.74,3615,63.245,27.002,115.02
148.07,3616,63.554,26.989,114.87
123.51,3617,64.256,25.982,115.14
122.59,3618,64.16,25.898,115.23
121.24,3619,64.335,25.858,115.13
205.23,3623,61.068,27.832,114.82
203.77,3625,61.228,27.783,114.87
152.47,3626,62.979,27.081,115.07
154.6,3627,62.827,27.036,115.18
149.76,3628,62.884,27.18,115.01
157.28,3629,63.128,27.059,115.02
117.45,3630,64.105,25.778,115.31
113.98,3631,64.208,25.698,115.26
117.78,3637,62.778,27.246,114.99
98.031,3638,62.688,27.176,115.1
109.56,3639,62.653,27.291,114.99
100.62,3641,64.131,25.576,115.35
116.17,4010,71.367,17.175,111.57
114.43,4028,71.387,17.029,111.53
115.62,4046,71.386,16.731,111.56
113.82,4047,71.403,16.879,111.5
113.77,4059,71.42,16.749,111.45
113.88,4060,71.403,16.603,111.5
114.14,4074,71.407,16.444,111.47
110.73,4089,71.425,16.326,111.39
109.69,4104,71.411,16.219,111.41
226.23,4278,59.644,28.812,113.06
248.96,4282,59.797,28.751,113.21
252.74,4283,59.846,28.634,113.47
241.86,4284,59.974,28.688,113.36
260.58,4286,59.971,28.564,113.62
204.44,4287,60.118,28.632,113.48
206.97,4291,60.112,28.496,113.75
191.67,4292,60.226,28.586,113.58
191.52,4296,60.249,28.508,113.74
191.31,4297,60.302,28.407,113.92
192.98,4304,60.464,28.385,113.97
192.33,4305,60.419,28.317,114.09
195.54,4306,60.611,28.354,114.02
200.58,4311,60.765,28.325,114.07
135.3,4312,64.431,26.779,114.51
135,4313,64.273,26.699,114.69
135.54,4314,64.243,26.801,114.62
135,4315,64.569,26.671,114.51
135,4316,64.393,26.629,114.66
